v1_idx,v2_idx,score,is_similar
0,1,-0.003930049599006208,0
0,2,-0.009219957357887797,0
0,3,-0.02203171777584141,0
0,4,-0.02449909654070751,0
0,5,0.014894756452267488,0
0,6,0.3702933591352087,1
0,7,-0.06650520300807951,0
0,8,0.013402923453953488,0
0,9,0.1735643384218918,0
1,2,0.07755421001646981,0
1,3,0.09943885638388374,0
1,4,0.09900425317990857,0
1,5,0.10112873367053096,0
1,6,0.05745121654760488,0
1,7,0.3659117328029887,1
1,8,-0.042064100598459754,0
1,9,0.09853510886726387,0
2,3,0.42523729882644923,1
2,4,0.5474767429748856,1
2,5,0.5135763639119103,1
2,6,0.12823479282166841,0
2,7,0.2319000723699692,0
2,8,0.474469056323759,1
2,9,0.6253178159655827,1
3,4,0.4922617191056092,1
3,5,0.3070394871161232,1
3,6,-0.0198773250241979,0
3,7,0.10774864011362378,0
3,8,0.34342487601583715,1
3,9,0.4491626499582653,1
4,5,0.3901992469556863,1
4,6,0.032094241173281024,0
4,7,0.06541546540448161,0
4,8,0.46460074119980943,1
4,9,0.5940763497668116,1
5,6,0.07902351045122465,0
5,7,0.06719187653762844,0
5,8,0.464384765080244,1
5,9,0.32931888231278594,1
6,7,0.02654839807584787,0
6,8,0.04449680144837839,0
6,9,0.3318497377541935,1
7,8,-0.025167851167790394,0
7,9,0.20157627249708315,0
8,9,0.32520529961072814,1
